ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	1/1	18/18870	0.000953895071542199	0.0153683094859547	NA	RPS27L	1
GO:0000028	ribosomal small subunit assembly	1/1	19/18870	0.0010068892421834	0.0153683094859547	NA	RPS27L	1
GO:0042772	DNA damage response, signal transduction resulting in transcription	1/1	19/18870	0.0010068892421834	0.0153683094859547	NA	RPS27L	1
GO:0031571	mitotic G1 DNA damage checkpoint signaling	1/1	29/18870	0.00153683094859547	0.0153683094859547	NA	RPS27L	1
GO:0044819	mitotic G1/S transition checkpoint signaling	1/1	29/18870	0.00153683094859547	0.0153683094859547	NA	RPS27L	1
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1/1	44/18870	0.00233174350821397	0.0162294647588762	NA	RPS27L	1
GO:0042255	ribosome assembly	1/1	64/18870	0.00339162692103845	0.0162294647588762	NA	RPS27L	1
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	1/1	68/18870	0.00360360360360346	0.0162294647588762	NA	RPS27L	1
GO:0030330	DNA damage response, signal transduction by p53 class mediator	1/1	73/18870	0.00386857445680977	0.0162294647588762	NA	RPS27L	1
GO:0044773	mitotic DNA damage checkpoint signaling	1/1	83/18870	0.00439851616322195	0.0162294647588762	NA	RPS27L	1
GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	1/1	84/18870	0.00445151033386315	0.0162294647588762	NA	RPS27L	1
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1/1	86/18870	0.00455749867514565	0.0162294647588762	NA	RPS27L	1
GO:0044774	mitotic DNA integrity checkpoint signaling	1/1	87/18870	0.00461049284578685	0.0162294647588762	NA	RPS27L	1
GO:1902807	negative regulation of cell cycle G1/S phase transition	1/1	95/18870	0.00503444621091675	0.0162294647588762	NA	RPS27L	1
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1/1	102/18870	0.00540540540540524	0.0162294647588762	NA	RPS27L	1
