ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007264	small GTPase mediated signal transduction	220/5381	491/18870	5.47033118566743e-15	1.91931015630254e-11	1.53478457236888e-11	ARHGEF18/DENND4B/VAV1/CCDC88C/RGL1/TIAM1/SYDE1/NOTCH1/DENND3/GIT2/FGD2/CRKL/STARD8/F11R/ARHGAP1/DOCK2/ITPKB/SIPA1L3/ELMO1/ABCA1/ROBO1/ARHGAP45/TSC2/ROCK2/RAP1B/RRAGC/RIPOR1/CYFIP1/STAMBP/DLC1/BRK1/GARRE1/FOXM1/RASIP1/OBSCN/PREX1/RAPGEF1/RAPGEF3/RRAS2/RASA3/NET1/ARHGAP27/PREX2/ARHGAP23/RASGRP2/ARHGAP4/RHEB/LIPA/FGD5/COL3A1/OGT/RALGAPA2/ABL1/CBL/ARHGEF2/GMIP/NISCH/PARK7/MRAS/CDKN1A/ITSN1/PLEKHG1/MYO9B/ARHGAP25/P2RY8/RAB39A/COL1A2/PRAG1/IQSEC1/NKIRAS1/RASGRP4/PLK2/HACD3/TP53/PLEKHG5/STMN1/ARHGAP6/CYTH4/IQSEC3/NRP1/CDC42EP4/RUFY1/NF1/MCF2L/RAPGEF5/AUTS2/SH2D3C/VAV3/SH3BP1/ARHGAP35/ARHGAP17/CGNL1/RELN/CYTH2/DOCK6/PPP2CB/AKAP13/SH2B2/F2RL2/RGS19/CYTH1/DOK3/NUCB2/F2RL1/FBXO8/RAB4B/RHOC/RAC2/CCNA2/RAPGEF2/KCTD10/GPR4/HEG1/GPR35/GPR65/CSF1/CTNNAL1/ARHGAP42/ARRB1/DOCK8/RASGEF1B/IGF1/RABIF/APOC3/MADD/DOCK10/ARHGEF10L/ARHGEF5/SOS1/RAP1GAP2/TRIO/MAPRE2/NKIRAS2/MYO9A/WAS/BCAR3/ARHGEF4/ARHGAP31/ARHGEF17/ARFGEF1/PIK3CG/CDKN2A/RAC3/KBTBD6/RABGEF1/KANK1/FGD3/RAB35/DHCR24/RANGRF/SRGAP3/GIT1/ARF6/GABARAP/ITGB1/RALGPS1/ARHGEF40/SQSTM1/NTN1/RACGAP1/ROPN1B/DOK2/ALS2/LPAR6/ARHGAP11A/RAB18/F2R/ARHGAP9/APOE/ABR/RASL10A/CYTH3/ARHGAP18/FLCN/RHOT2/KANK2/EPS8/DOCK11/DEF6/GBF1/DENND4C/RAPGEF6/RAP2B/CFL1/FGF2/CCDC88A/MET/ARHGEF11/RIPOR2/DOK6/DOCK9/SYNGAP1/SYDE2/FGD4/ARHGEF1/RAB9A/EPS8L2/YWHAQ/SRGAP2/RIT1/ARHGEF15/ARHGEF10/IQSEC2/PLEKHG3/CDC42SE1/RASGRP1/KALRN/FARP2/DOCK1/CDON/ARHGEF12/SPRY3/DNMBP/MAPKAP1/ARL3/NOTCH2/ARHGAP22/CDC42SE2/LZTR1/LAT	220
GO:0051056	regulation of small GTPase mediated signal transduction	147/5381	295/18870	6.06129845666363e-15	1.91931015630254e-11	1.53478457236888e-11	ARHGEF18/DENND4B/VAV1/TIAM1/SYDE1/NOTCH1/DENND3/GIT2/FGD2/STARD8/F11R/ARHGAP1/DOCK2/ITPKB/SIPA1L3/ABCA1/ROBO1/ARHGAP45/TSC2/STAMBP/DLC1/FOXM1/RASIP1/OBSCN/PREX1/RASA3/NET1/ARHGAP27/PREX2/ARHGAP23/ARHGAP4/FGD5/COL3A1/OGT/RALGAPA2/ABL1/CBL/ARHGEF2/GMIP/ITSN1/PLEKHG1/MYO9B/ARHGAP25/P2RY8/PRAG1/IQSEC1/RASGRP4/PLEKHG5/STMN1/ARHGAP6/CYTH4/IQSEC3/NRP1/NF1/MCF2L/AUTS2/VAV3/SH3BP1/ARHGAP35/ARHGAP17/CGNL1/RELN/CYTH2/PPP2CB/AKAP13/SH2B2/F2RL2/CYTH1/F2RL1/FBXO8/KCTD10/GPR4/HEG1/GPR35/GPR65/CSF1/ARHGAP42/ARRB1/DOCK8/IGF1/APOC3/MADD/ARHGEF10L/ARHGEF5/SOS1/RAP1GAP2/TRIO/MAPRE2/MYO9A/ARHGEF4/ARHGAP31/ARHGEF17/ARFGEF1/PIK3CG/KBTBD6/RABGEF1/KANK1/FGD3/SRGAP3/GIT1/ARF6/GABARAP/ITGB1/RALGPS1/ARHGEF40/SQSTM1/RACGAP1/ALS2/LPAR6/ARHGAP11A/F2R/ARHGAP9/APOE/ABR/CYTH3/ARHGAP18/FLCN/KANK2/EPS8/DEF6/GBF1/DENND4C/MET/ARHGEF11/RIPOR2/SYNGAP1/SYDE2/FGD4/ARHGEF1/EPS8L2/SRGAP2/ARHGEF15/ARHGEF10/IQSEC2/PLEKHG3/CDC42SE1/RASGRP1/KALRN/CDON/ARHGEF12/SPRY3/DNMBP/MAPKAP1/NOTCH2/ARHGAP22/CDC42SE2/LZTR1	147
GO:0002181	cytoplasmic translation	85/5381	156/18870	8.00541616160171e-12	1.68994335171412e-08	1.3513704264374e-08	RWDD1/RPL9/RPL21/RPS7/EIF3J/RPL23A/EIF2S2/RPS27A/RPS18/RPS11/CPEB3/RPL34/RPS12/RPL26/RPL7/RPL36A/RPL27A/RPL37/RPL32/RPL17/RPS14/RPS13/RPS26/RPL31/RPL11/RPS3/RPS17/RPL6/PAIP1/RPL22L1/RPS24/RPS19/ZC3H15/RPL10/MCTS1/RPS4X/RPL22/RPL12/RPL15/EIF3H/RPL36/HNRNPD/EIF2D/DHX29/EIF3K/RPL37A/RPS6/EIF3C/EIF2S3/ETF1/RPL7A/EIF3M/ZNF385A/RPLP1/RPL19/RPL24/RPS8/RPL8/EIF3E/IMPACT/FMR1/UBA52/HNRNPU/FTSJ1/RPS3A/RPS25/RPL5/RPL35A/CPEB4/RPL30/UNK/RPL4/RPSA/RPS2/NCBP2/YTHDF2/EIF2AK4/RPS20/EIF3I/CPEB2/EIF4A2/CSDE1/RPL3/EIF3L/RACK1	85
GO:0097193	intrinsic apoptotic signaling pathway	147/5381	319/18870	1.45062804720638e-11	2.2967068557395e-08	1.83657145660786e-08	RPS27L/ERN1/SELENOS/QRICH1/SELENOK/CYCS/HIPK2/PHLDA3/TRIAP1/RPS7/PPP1R13B/SERINC3/ERP29/DAPK2/IFI6/HINT1/RPL26/CEBPB/CASP2/CASP6/HIC1/CASP4/BAX/NONO/EP300/RPL11/TNFRSF1A/RPS3/PRKDC/KDM1A/CD24/NCK2/TNFRSF1B/UBB/PTPN2/GSKIP/HIF1A/ABL1/BBC3/ARHGEF2/TAF9/PARK7/HIPK1/CDKN1A/WWOX/TRIB3/PARL/BECN1/DDIT3/PTPN1/TP53/GATA4/RRM2B/BCAP31/ERCC6/PTPMT1/TRAP1/MIF/CD44/PIAS4/NDUFS3/POLB/SNAI2/TXNDC12/IVNS1ABP/HDAC1/FNIP2/ZNF385A/PDCD10/MMP9/FBH1/EPHA2/HELLS/PERP/CXCL12/DAXX/RIPK3/ATP2A1/GPX1/MYBBP1A/DNAJA1/CDKN2D/XBP1/ATF4/MAPK7/DDX3X/VNN1/CCAR2/TREM2/PARP1/ATM/BAG6/STYXL1/PDX1/CREB3/DYRK2/MDM2/PLEKHF1/P4HB/CHAC1/BAK1/ACKR3/PDK1/MCL1/PYCARD/BCL2L2/ENO1/ZNF385B/NACC2/FLCN/SHISA5/SFPQ/COA8/CTNNB1/PPP1R15A/MYC/FBXO7/CYLD/MLH1/TMEM161A/PML/PPM1F/HNRNPK/E2F1/CDIP1/GRINA/ZNF622/CHEK2/BDKRB2/PRODH/MOAP1/PINK1/AEN/ADCY10/JAK2/GSDME/FZD1/DNAJC10/ATP2A3/HTRA2/BCLAF1/ING2/CUL1/NFATC4/RACK1/PYCR1/NOL3	147
GO:0022411	cellular component disassembly	209/5381	497/18870	4.29431851579492e-11	5.43918383210584e-08	4.34946660620828e-08	LIX1L/RIMOC1/PDXP/SPTBN2/ATP13A2/MCOLN1/C1QC/CHMP5/FSCN1/SMARCC2/SPTBN1/C1QB/PEX2/ATG5/DSTN/CLASP1/FZD5/DICER1/TSC2/VPS13C/MTRFR/IGF1R/EEF2K/UPF1/TSG101/GAK/MAP1S/PELO/TOMM7/TOP2A/KIF19/CAPG/LRP1/ADAM8/DNASE1L3/FYCO1/BAX/WIPI1/ATG13/VAMP8/OGT/HIF1A/CTTN/GSK3B/HK2/PLG/ARHGEF2/HUWE1/PRKAA1/PARK7/TGFB1/STMN2/CALM1/IST1/MCTS1/PARL/FUNDC1/ATG2A/SPATA18/IQSEC1/TMOD3/BECN1/MAP1LC3B2/TP53/STMN1/IRAK3/NES/EIF2D/SH3PXD2B/CHMP4B/RUBCN/SCAF8/UFC1/SMCR8/CDK1/HAX1/SH3BP1/APC/MTIF3/GABARAPL2/MFSD8/PHF23/SNX14/SNX7/SNAI2/SCAF4/CHMP4A/SEMA5A/MMP11/MAP1LC3B/PRKCB/ETF1/CIB1/SMARCE1/FAP/GABARAPL1/LRBA/ULK1/DDR2/F2RL1/PIK3C3/TEX264/WDR1/CST3/ATG12/KIF2A/NMNAT1/MMP9/ADD3/PNPLA2/MICAL3/VMP1/FUNDC2/FGFR4/SNX30/MMP14/VPS13D/ELANE/FURIN/SPTBN4/ATXN7/CKAP2/VTA1/VRK1/UFL1/MAP1LC3A/MAPRE2/EXOC8/DDRGK1/PLEK/MMP7/TPX2/TREM2/CIDEA/CTSK/PLK1/SMARCB1/CARMIL2/ST20/CECR2/ARF6/FLII/GABARAP/SH3GL1/ITGB1/ATG2B/SQSTM1/TRIM58/C1QA/CKAP5/PRKCA/MAP1A/NEDD9/RUBCNL/SVIL/GPER1/GSN/MARK2/EPS8/ADAMTS5/HSF1/ATP5IF1/GBF1/PLIN2/CLEC16A/WNK1/DHX8/CFL1/OGFOD1/MTRF1L/CDK5RAP3/MYC/FBXO7/FBXL4/OPTN/SYNJ1/CLASP2/FER/KAT5/VDAC1/RB1CC1/RRP7A/EPG5/PINK1/TRIOBP/CARMIL1/SNAPIN/PRKAA2/SETX/AVIL/CISD2/CHMP2B/MTIF2/PYM1/ADCY10/ZMPSTE24/TMOD2/HTRA2/C1QL1/STX5/ACVR1C/RNF41/VPS4A/TECPR1/DCTN1/LAMP2/TRIP4/ITGAM/CHMP2A	209
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	195/5381	458/18870	5.40684114906648e-11	5.70692083283967e-08	4.56356364353664e-08	UBE4B/SELENOS/CSNK1A1/STYX/ANAPC10/SEC61B/SPSB4/ERLEC1/UBE2B/FBXL18/TBL1XR1/FBXO27/HFE/KLHL3/TRIM3/FBXL14/MTA1/PSMA7/UBE2N/TRIB2/PSMC1/SKP1/HERC2/RNF144A/ZSWIM8/FEM1A/DESI1/RPL11/CDC20/HECTD1/ANAPC16/PSMA1/UBR3/TRIM13/ANAPC13/DAB2/DERL1/OGT/GSK3B/FBXO22/TAF9/PSMB3/PARK7/PSMA6/UBE4A/IFI27/DCAF13/TRIB3/USP7/SKP2/RNF19B/DDIT3/HECTD3/PSMC6/EIF3H/PSMD14/CAMLG/COP1/BCAP31/PSMA2/UBXN2A/GID8/CSNK1E/PSMD11/PSMD7/DERL2/APC/ITCH/PPP2CB/PSMB6/SUMO1/UBR2/PSMD13/PSMC5/TRIM39/SPSB2/CRBN/UBXN11/FBXO6/PSMB1/RBX1/TRAF4/SUMO2/UBE2A/ANAPC15/MAN1C1/SH3RF3/FOXRED2/PSMA3/RNF126/PSMD1/FBXO2/PSMB2/KCTD10/UBXN8/CDC26/USP19/ZER1/DERL3/GIPC1/FBXL7/PSMA4/ARRB1/LTN1/NHLRC1/COMMD1/USP38/SMURF1/ERCC8/MARCHF6/TRIM38/DCAF12/UFL1/TAF1/RNF4/DDRGK1/TMEM129/ZNF598/PJA2/CCAR2/EDEM1/HSP90AB1/ECPAS/PLK1/PSMB4/BAG6/PSMB7/KBTBD6/SVIP/USP9X/MDM2/GABARAP/UBXN7/DNAJB2/TRIP12/ANAPC1/UBE3D/AXIN2/MAP1A/PELI1/FBXW8/UBXN4/HSPA5/TBX21/CEBPA/SHH/CTNNB1/ERLIN2/PSMA5/FBXO38/SEL1L/FBXO7/PSMD4/FBXL4/UBE2G1/GLMN/PSMD10/PML/APPBP2/ARIH1/UBE2J1/NOP53/NAGLU/PSMB5/KAT5/ERLIN1/SPOP/RNF14/UBE2S/ZNF418/ANAPC7/FBXO44/KLHDC2/PSMC3/PCBP2/TBL1X/DNAJC10/EDEM2/DDA1/ARIH2/IL33/PABIR1/TRIM2/PLAA/MTM1/AMN1/DVL1/UBE3A/HSP90B1/CUL1/FBXL2/PBK/TRIP4/RACK1/AUP1	195
GO:0009142	nucleoside triphosphate biosynthetic process	70/5381	127/18870	2.75050676376164e-10	2.30860878908306e-07	1.84608888849196e-07	SDHD/NDUFB6/ATP5PB/NDUFA12/NDUFA1/ATP5MG/PRKAG2/NDUFB8/ATP5MJ/SDHA/NME6/ATP5MK/UCKL1/NDUFA8/TBPL1/LIPA/ATP5F1C/TYMS/NDUFB5/ATP5PO/AK1/TGFB1/NME1/NDUFA9/ATP5PF/ATP5MC2/ATP5F1E/NDUFC1/ATP5ME/NDUFS4/NDUFB3/NDUFB2/NDUFS3/NDUFB9/NDUFS5/PPARA/NDUFA10/NDUFA3/ATP5F1D/COX11/PPARGC1A/SDHB/NDUFS2/TREM2/PARP1/NDUFAB1/ATP5MC1/ATP5PD/SDHC/ATP5F1A/ENO1/FLCN/NUDT2/DTYMK/NDUFA11/ADK/SLC25A13/NDUFA5/PINK1/NDUFB1/NDUFA2/AK3/AK4/UCK1/ADCY10/IMPDH2/DMAC2L/NME2/ATP5MC3/ATP5MF	70
GO:0007265	Ras protein signal transduction	151/5381	341/18870	2.91629090678422e-10	2.30860878908306e-07	1.84608888849196e-07	ARHGEF18/DENND4B/RGL1/TIAM1/SYDE1/NOTCH1/DENND3/GIT2/CRKL/STARD8/F11R/ARHGAP1/ITPKB/ELMO1/ABCA1/ROBO1/ROCK2/RAP1B/RIPOR1/CYFIP1/STAMBP/DLC1/BRK1/GARRE1/FOXM1/RASIP1/RAPGEF1/RAPGEF3/RRAS2/RASA3/NET1/RASGRP2/ARHGAP4/COL3A1/OGT/ABL1/CBL/ARHGEF2/NISCH/PARK7/MRAS/CDKN1A/MYO9B/P2RY8/RAB39A/COL1A2/PRAG1/IQSEC1/NKIRAS1/RASGRP4/PLK2/HACD3/TP53/PLEKHG5/STMN1/ARHGAP6/CYTH4/IQSEC3/NRP1/CDC42EP4/NF1/MCF2L/RAPGEF5/AUTS2/SH3BP1/ARHGAP35/ARHGAP17/CYTH2/PPP2CB/AKAP13/SH2B2/F2RL2/CYTH1/DOK3/F2RL1/FBXO8/RAB4B/CCNA2/RAPGEF2/KCTD10/GPR4/HEG1/GPR35/GPR65/CSF1/CTNNAL1/ARHGAP42/ARRB1/RASGEF1B/IGF1/APOC3/MADD/SOS1/MAPRE2/NKIRAS2/WAS/ARFGEF1/PIK3CG/CDKN2A/RAC3/KBTBD6/RABGEF1/KANK1/RAB35/DHCR24/RANGRF/GIT1/ARF6/GABARAP/ITGB1/RALGPS1/SQSTM1/NTN1/RACGAP1/ROPN1B/DOK2/ALS2/LPAR6/F2R/APOE/CYTH3/FLCN/KANK2/EPS8/GBF1/DENND4C/RAPGEF6/RAP2B/CFL1/FGF2/MET/ARHGEF11/RIPOR2/DOK6/SYNGAP1/SYDE2/ARHGEF1/RAB9A/EPS8L2/RIT1/IQSEC2/CDC42SE1/RASGRP1/FARP2/ARHGEF12/SPRY3/MAPKAP1/NOTCH2/CDC42SE2/LZTR1/LAT	151
GO:0042254	ribosome biogenesis	145/5381	325/18870	3.46440368645788e-10	2.43778539403753e-07	1.94938551292969e-07	RPS27L/NOL9/FCF1/RPS7/NOP58/RBIS/NAF1/RPL23A/RPL7L1/UTP20/RPS11/MAK16/RPF1/RPS12/RPL26/RPL7/MRPL44/EIF1AX/RPS14/FRG1/NGRN/GTF3A/RPS13/RPUSD4/RPL11/NSA2/PRKDC/RPS17/RPL6/NOP10/DDX17/RPS24/RPS19/SBDS/DCAF13/RPL10/RPS4X/LSM6/MRPS7/ESF1/NIFK/EXOSC8/RPP38/DHX29/TSC1/RIOX2/RSL1D1/SDE2/RPS6/MDN1/URB1/WDR55/EXOSC1/EMG1/DKC1/MTERF3/RPL7A/MPHOSPH6/PAK1IP1/PIN4/WDR36/LTV1/BRIX1/DDX18/FBL/RPF2/BYSL/RPP30/RPL24/NIP7/RPS8/METTL5/HEATR1/DDX52/MRTO4/NUP88/MYBBP1A/GTF2H5/NHP2/EXOSC9/NGDN/DDX3X/RSL24D1/UTP14A/MRPL20/C1orf131/WDR46/RPS3A/USP16/PDCD11/EXOSC3/RPS25/RPL5/EXOSC6/GLUL/TSR2/POP4/TMA16/DDX21/NOA1/TFB2M/RPL35A/C1QBP/WBP11/GNL2/UTP3/UTP23/AIRIM/SERBP1/ABT1/AFG2B/MPV17L2/POP5/NPM1/TFB1M/ERAL1/MPHOSPH10/BUD23/PES1/UTP15/UTP25/SNU13/RPSA/DDX10/UTP11/NOP53/GAR1/ZNF622/UTP6/BMS1/ZNHIT3/RRP7A/YTHDF2/LOC102724159/MRM2/DNTTIP2/PIH1D1/RCL1/RRP1B/EBNA1BP2/RBFA/EFL1/YBEY/PNO1/DROSHA	145
GO:0046578	regulation of Ras protein signal transduction	91/5381	183/18870	9.7553324928838e-10	6.17805206774331e-07	4.94030574981726e-07	ARHGEF18/DENND4B/SYDE1/NOTCH1/DENND3/GIT2/STARD8/F11R/ITPKB/ABCA1/ROBO1/STAMBP/DLC1/FOXM1/RASIP1/RASA3/NET1/COL3A1/OGT/ABL1/CBL/ARHGEF2/MYO9B/P2RY8/PRAG1/IQSEC1/RASGRP4/STMN1/CYTH4/IQSEC3/NRP1/NF1/MCF2L/AUTS2/SH3BP1/ARHGAP35/ARHGAP17/CYTH2/PPP2CB/AKAP13/SH2B2/F2RL2/CYTH1/F2RL1/FBXO8/KCTD10/GPR4/HEG1/GPR35/GPR65/CSF1/ARHGAP42/ARRB1/IGF1/APOC3/MADD/MAPRE2/ARFGEF1/PIK3CG/KBTBD6/RABGEF1/KANK1/GIT1/ARF6/GABARAP/ITGB1/RALGPS1/SQSTM1/ALS2/LPAR6/F2R/APOE/CYTH3/FLCN/KANK2/EPS8/GBF1/DENND4C/MET/RIPOR2/SYNGAP1/SYDE2/EPS8L2/IQSEC2/CDC42SE1/RASGRP1/SPRY3/MAPKAP1/NOTCH2/CDC42SE2/LZTR1	91
