gene_id	ensembl	SYMBOL	ENTREZID	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000197766	ENSG00000197766	CFD	1675	3.9716010625105	0.452644095077173	8.7742248395693	1.72085100860735e-18	1.79019033812322e-14
ENSG00000162692	ENSG00000162692	VCAM1	7412	2.19373911102409	0.251507556979133	8.72235863356623	2.72465740570882e-18	1.79019033812322e-14
ENSG00000239264	ENSG00000239264	TXNDC5	81567	5.61957764241588	0.646062894188859	8.69818974741048	3.37220332435619e-18	1.79019033812322e-14
ENSG00000105609	ENSG00000105609	LILRB5	10990	1.9819935446661	0.234517479136465	8.45136811108561	2.87908934601591e-17	9.46225973244408e-14
ENSG00000177575	ENSG00000177575	CD163	9332	2.44811675218978	0.289796460023413	8.44771103136315	2.97069563369461e-17	9.46225973244408e-14
ENSG00000105426	ENSG00000105426	PTPRS	5802	2.99308323004365	0.35666633409319	8.39182996526274	4.78632816358597e-17	1.27045103888784e-13
ENSG00000130939	ENSG00000130939	UBE4B	10277	0.631527194766271	0.077449858815665	8.15401350529691	3.52041532735119e-16	8.00944778619929e-13
ENSG00000008441	ENSG00000008441	NFIX	4784	0.935661504889399	0.115420024514972	8.106578635911	5.20650273606906e-16	9.35727879774807e-13
ENSG00000157827	ENSG00000157827	FMNL2	114793	1.63326226149113	0.201520581135854	8.10469209787595	5.28792598139725e-16	9.35727879774807e-13
ENSG00000087237	ENSG00000087237	CETP	1071	2.00522871764941	0.249115527702119	8.04939273013592	8.3205848938666e-16	1.32513635019719e-12
ENSG00000203710	ENSG00000203710	CR1	1378	3.08898419648698	0.385804883133883	8.00659693935246	1.1792619708908e-15	1.70735692258245e-12
ENSG00000104880	ENSG00000104880	ARHGEF18	23370	1.7869058051004	0.2239788767702	7.9780103859247	1.48710884682205e-15	1.7229908881277e-12
ENSG00000157933	ENSG00000157933	SKI	6497	1.02022549260083	0.127911589862495	7.97602073195694	1.51126568507767e-15	1.7229908881277e-12
ENSG00000172534	ENSG00000172534	HCFC1	3054	1.21239748394143	0.152017555986196	7.97537808101268	1.51915052604577e-15	1.7229908881277e-12
ENSG00000178502	ENSG00000178502	KLHL11	55175	3.73081560853793	0.468270570788097	7.96722203203797	1.62280945133213e-15	1.7229908881277e-12
ENSG00000187239	ENSG00000187239	FNBP1	23048	1.00730953902577	0.127210425834021	7.91845112082295	2.40487446345708e-15	2.38515653754031e-12
ENSG00000176788	ENSG00000176788	BASP1	10409	1.77523727877662	0.224437416624164	7.90972069398474	2.57967004001298e-15	2.38515653754031e-12
ENSG00000088827	ENSG00000088827	SIGLEC1	6614	1.95057640395036	0.246776012075902	7.90423829099897	2.69576903652679e-15	2.38515653754031e-12
ENSG00000164100	ENSG00000164100	NDST3	9348	2.61772144615604	0.332140971977179	7.88135661364867	3.23845592375214e-15	2.58495424194738e-12
ENSG00000165457	ENSG00000165457	FOLR2	2350	1.87409926193966	0.237797928801782	7.88105796960843	3.24620650753156e-15	2.58495424194738e-12
ENSG00000181631	ENSG00000181631	P2RY13	53829	1.97719071160799	0.253158540402802	7.81008892080855	5.71476530689825e-15	4.33396915607912e-12
ENSG00000185088	ENSG00000185088	RPS27L	51065	-1.13428521899758	0.145862561686471	-7.77639721860711	7.4619156634821e-15	5.40174858439163e-12
ENSG00000145850	ENSG00000145850	TIMD4	91937	3.45700919341202	0.447660865683205	7.72238419397249	1.14173637731672e-14	7.90577980223745e-12
ENSG00000010327	ENSG00000010327	STAB1	23166	1.63095016365681	0.212015940764457	7.69258272645048	1.44194187089145e-14	9.56848593159054e-12
ENSG00000198837	ENSG00000198837	DENND4B	9909	0.671871785867857	0.0877998309495001	7.65231297830513	1.97396078661399e-14	1.25749197950458e-11
ENSG00000118257	ENSG00000118257	NRP2	8828	1.51840911664799	0.198630535803074	7.64438916961573	2.0993954827712e-14	1.28596047917747e-11
ENSG00000215421	ENSG00000215421	ZNF407	55628	1.07848534073009	0.141184603769861	7.63883109016678	2.19202647377027e-14	1.29297087486168e-11
ENSG00000164442	ENSG00000164442	CITED2	10370	1.11409600918952	0.146275680820676	7.61641308342516	2.6082207535981e-14	1.48351870435012e-11
ENSG00000092068	ENSG00000092068	SLC7A8	23428	1.53169794739221	0.202357066053081	7.5692832341739	3.75289110624904e-14	2.03142937835784e-11
ENSG00000198752	ENSG00000198752	CDC42BPB	9578	0.837911996886371	0.110735976573588	7.56675493198498	3.8266282400311e-14	2.03142937835784e-11
ENSG00000271601	ENSG00000271601	LIX1L	128077	1.01400823215391	0.134268283621315	7.55210541764116	4.28277602319986e-14	2.20024164340261e-11
ENSG00000171314	ENSG00000171314	PGAM1	5223	0.922646964664508	0.122506376272724	7.53141993695502	5.01914834524217e-14	2.49796739207271e-11
ENSG00000019169	ENSG00000019169	MARCO	8685	2.39785927826107	0.319397819153011	7.50743785483503	6.02957917534326e-14	2.90991145292475e-11
ENSG00000244405	ENSG00000244405	ETV5	2119	1.50464172701367	0.20064919121914	7.49886763994163	6.43714864852505e-14	3.0152361581297e-11
ENSG00000205765	ENSG00000205765	RIMOC1	285636	1.02734843865201	0.137389805941385	7.47761765592937	7.56820024369767e-14	3.44374734517512e-11
ENSG00000126759	ENSG00000126759	CFP	5199	1.68006956910901	0.225368141256555	7.45477847818981	9.00189489844666e-14	3.98233828201838e-11
ENSG00000142599	ENSG00000142599	RERE	473	0.874906679921599	0.117750630970931	7.43016553463382	1.08461857312016e-13	4.6592893460485e-11
ENSG00000241360	ENSG00000241360	PDXP	57026	3.06886776824517	0.41325572438868	7.42607443075321	1.11868063569056e-13	4.6592893460485e-11
ENSG00000127418	ENSG00000127418	FGFRL1	53834	1.19689510501226	0.161231390239678	7.42346203945159	1.14097880507278e-13	4.6592893460485e-11
ENSG00000130749	ENSG00000130749	ZC3H4	23211	1.07585736003511	0.145318925284193	7.40342221724462	1.32718914371067e-13	5.28420357568403e-11
ENSG00000139946	ENSG00000139946	PELI2	57161	1.88614479409862	0.255475219054795	7.38288747173588	1.5489293622899e-13	6.0166461033729e-11
ENSG00000082397	ENSG00000082397	EPB41L3	23136	1.63834350038969	0.222143048737118	7.37517338356369	1.64131307038357e-13	6.22370284736399e-11
ENSG00000037280	ENSG00000037280	FLT4	2324	1.64614284223738	0.223875230598936	7.3529476120848	1.93882941964519e-13	7.18088310169052e-11
ENSG00000073754	ENSG00000073754	CD5L	922	2.42343590354872	0.329753743587293	7.34922938913409	1.99352813313069e-13	7.21566569278169e-11
ENSG00000066735	ENSG00000066735	KIF26A	26153	1.80117306089991	0.246122778536982	7.31818920461794	2.51339330039231e-13	8.87177838009784e-11
ENSG00000167378	ENSG00000167378	IRGQ	126298	0.728166952105376	0.0995362963148406	7.31559219163761	2.5624877903083e-13	8.87177838009784e-11
ENSG00000184574	ENSG00000184574	LPAR5	57121	1.63678457374083	0.224557805738037	7.28892308312925	3.12442354262928e-13	1.05871424127476e-10
ENSG00000141968	ENSG00000141968	VAV1	7409	1.63045230036772	0.225523721157419	7.22962663084845	4.84323720649554e-13	1.60694574480517e-10
ENSG00000066136	ENSG00000066136	NFYC	4802	0.684069108483981	0.0947463187154262	7.22000725472623	5.19848008638546e-13	1.68961211950561e-10
ENSG00000167601	ENSG00000167601	AXL	558	1.45293807512623	0.201851076899757	7.19806947499118	6.10710274953246e-13	1.94523436778108e-10
